epoch,train_loss,train_accuracy,val_loss,val_accuracy,learning_rate,epoch_time_seconds
1,1.0419,0.6742,0.9159,0.7153,0.0005,234.0
2,0.8398,0.72,0.8108,0.7311,0.0005,227.53
3,0.8005,0.7266,0.7648,0.7416,0.0005,229.44
4,0.7439,0.7439,0.7513,0.7416,0.0005,230.34
5,0.7195,0.7486,0.7283,0.7521,0.0005,238.55
